                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.8019,                 1.7326,                 2.2257,                0.54633,                 0.7142,                0.70178,                0.42721,                 1.5431,                 1.6672,                 2.1285,               0.001103,               0.001103,               0.001103
                     98,                 1.7165,                  1.662,                 2.1921,                0.61048,                0.69589,                0.73095,                0.42891,                   1.57,                 1.6752,                 2.1785,              0.0011015,              0.0011015,              0.0011015
                     99,                 1.7111,                 1.6939,                 2.2281,                0.57572,                0.74874,                0.72747,                0.40178,                  1.663,                 1.7388,                 2.2848,                 0.0011,                 0.0011,                 0.0011
                    100,                 1.7117,                 1.6654,                 2.1848,                0.49939,                0.73847,                0.64306,                0.39171,                 1.4453,                 1.7395,                 2.0932,              0.0010984,              0.0010984,              0.0010984
                    101,                 1.7176,                 1.6973,                 2.2222,                0.54191,                0.75867,                0.70432,                0.41685,                 1.4343,                  1.587,                 2.0455,              0.0010969,              0.0010969,              0.0010969
                    102,                 1.7487,                 1.7987,                 2.2107,                0.63801,                0.79052,                0.74116,                0.43059,                 1.4484,                 1.5326,                 2.0231,              0.0010953,              0.0010953,              0.0010953
                    103,                 1.6506,                 1.6334,                 2.1165,                0.70209,                0.69613,                0.75419,                0.45373,                 1.4451,                  1.608,                 2.0122,              0.0010938,              0.0010938,              0.0010938
                    104,                 1.7818,                 1.7609,                 2.2576,                0.61261,                0.80738,                0.72798,                0.47523,                 1.4643,                 1.6715,                 1.9975,              0.0010922,              0.0010922,              0.0010922
                    105,                 1.6271,                 1.6302,                 2.0706,                0.62508,                0.77338,                0.72287,                 0.4698,                 1.4721,                 1.5757,                 1.9783,              0.0010907,              0.0010907,              0.0010907
                    106,                 1.6708,                 1.6896,                 2.1271,                0.62916,                0.76174,                0.72164,                0.45849,                 1.4722,                  1.511,                 1.9752,              0.0010891,              0.0010891,              0.0010891
                    107,                 1.5833,                 1.5659,                 2.0816,                0.60913,                0.77227,                0.70296,                0.43515,                 1.4501,                 1.5749,                 1.9901,              0.0010876,              0.0010876,              0.0010876
